total_return_pct,win_rate,max_drawdown_pct,sharpe_ratio,num_trades,window_start,window_end,window_number
-0.26,0.0,-0.33,,1,2020-05-06 15:00:00,2020-08-06 14:00:00,1
0.47,0.0,-0.16,,1,2020-09-03 15:00:00,2020-11-12 15:00:00,2
0.38,0.0,-0.12,,1,2020-12-10 15:00:00,2021-03-09 14:00:00,3
-0.07,0.0,-0.07,,1,2021-04-05 15:00:00,2021-07-07 14:00:00,4
0.6,0.0,-0.1,,1,2021-08-03 16:00:00,2021-10-12 15:00:00,5
0.42,0.0,-0.0,,1,2021-11-08 15:00:00,2022-02-06 14:00:00,6
0.24,0.0,-0.02,,1,2022-03-02 20:00:00,2022-06-05 18:00:00,7
0.0,0.0,0.0,,1,2022-07-02 17:00:00,2022-09-11 19:00:00,8
0.05,0.0,-0.0,,1,2022-10-06 19:00:00,2023-01-08 19:00:00,9
-0.1,0.0,-0.23,,1,2023-02-06 13:00:00,2023-05-09 15:00:00,10
-0.03,0.0,-0.04,,1,2023-06-04 16:00:00,2023-09-02 16:00:00,11
0.83,0.0,0.0,,1,2023-09-11 17:00:00,2023-12-10 15:00:00,12
-0.2,0.0,-0.2,,1,2024-01-07 16:00:00,2024-04-09 18:00:00,13
0.05,0.0,-0.06,,1,2024-05-03 20:00:00,2024-08-02 19:00:00,14
-0.11,0.0,-0.11,,1,2024-08-10 19:00:00,2024-11-09 18:00:00,15
