total_return_pct,win_rate,max_drawdown_pct,sharpe_ratio,num_trades,window_start,window_end,window_number,compliance_passed,compliance_notes,compliance_firm,worst_daily_pnl,max_drawdown_amount,final_equity
0.13,0.0,-0.05,,1,2020-02-25 11:00:00+00:00,2020-03-11 00:00:00+00:00,1,True,All checks passed,FTMO,-28.012168430905565,-60.89148229040438,99954.59646979457
-0.02,0.0,-0.11,,1,2020-03-13 23:00:00+00:00,2020-03-28 12:00:00+00:00,2,True,All checks passed,FTMO,-46.11130614515002,-74.06351095516584,99951.08357109441
0.2,0.0,-0.09,,1,2020-03-31 11:00:00+00:00,2020-04-15 00:00:00+00:00,3,True,All checks passed,FTMO,-24.796943496130407,-32.250252407378866,99981.5655986064
-0.0,0.0,-0.07,,1,2020-04-17 23:00:00+00:00,2020-05-02 12:00:00+00:00,4,True,All checks passed,FTMO,-24.09038654453055,-38.36880612162349,100010.42980132379
0.03,0.0,-0.08,,1,2020-05-05 11:00:00+00:00,2020-05-20 00:00:00+00:00,5,True,All checks passed,FTMO,-11.054326932539098,-11.054326932542608,100052.3705600574
-0.02,0.0,-0.04,,1,2020-05-22 23:00:00+00:00,2020-06-06 12:00:00+00:00,6,True,All checks passed,FTMO,-5.026272998515761,-7.8399645298632095,100009.78973859466
0.0,0.0,-0.04,,1,2020-06-09 11:00:00+00:00,2020-06-24 00:00:00+00:00,7,True,All checks passed,FTMO,-22.656267946980275,-48.49641689102282,99957.3609358349
0.04,0.0,-0.02,,1,2020-06-26 23:00:00+00:00,2020-07-11 12:00:00+00:00,8,True,All checks passed,FTMO,-8.646255495441686,-17.03544897674874,100005.27558283023
0.23,0.0,-0.02,,1,2020-07-14 11:00:00+00:00,2020-07-29 00:00:00+00:00,9,True,All checks passed,FTMO,-11.569798880375831,-24.806517116856412,100016.46728886347
-0.07,0.0,-0.07,,1,2020-07-31 23:00:00+00:00,2020-08-15 12:00:00+00:00,10,True,All checks passed,FTMO,-16.90462361379388,-42.507224459404824,99979.19715084441
-0.07,0.0,-0.07,,1,2020-08-18 11:00:00+00:00,2020-09-02 00:00:00+00:00,11,True,All checks passed,FTMO,-20.075500760947687,-53.59919099320541,99955.13393206235
-0.19,0.0,-0.19,,1,2020-09-04 23:00:00+00:00,2020-09-19 12:00:00+00:00,12,True,All checks passed,FTMO,-25.142995386130714,-46.172785766859306,99954.7197166561
-0.04,0.0,-0.07,,1,2020-09-22 11:00:00+00:00,2020-10-07 00:00:00+00:00,13,True,All checks passed,FTMO,-33.282822816322096,-48.41052475942706,99966.10967709815
0.02,0.0,-0.04,,1,2020-10-09 23:00:00+00:00,2020-10-24 12:00:00+00:00,14,True,All checks passed,FTMO,-18.514440447935243,-38.55610581711517,99993.55179404712
