total_return_pct,win_rate,max_drawdown_pct,sharpe_ratio,num_trades,window_start,window_end,window_number,compliance_passed,compliance_notes,compliance_firm,worst_daily_pnl,max_drawdown_amount,final_equity
-0.02,0.0,-0.12,,1,2020-02-25 11:00:00+00:00,2020-03-11 00:00:00+00:00,1,True,All checks passed,FTMO,-28.380378858573458,-32.17523762102064,99994.85074736788
0.14,0.0,-0.1,,1,2020-03-13 23:00:00+00:00,2020-03-28 12:00:00+00:00,2,False,Position size exceeded: 3.06% > 3%,FTMO,-40.996488371821826,-52.16292310798599,100003.41293426306
0.05,0.0,-0.09,,1,2020-03-31 11:00:00+00:00,2020-04-15 00:00:00+00:00,3,True,All checks passed,FTMO,-16.540582990247444,-56.32132267601264,99948.53374146277
-0.1,0.0,-0.1,,1,2020-04-17 23:00:00+00:00,2020-05-02 12:00:00+00:00,4,True,All checks passed,FTMO,-16.8111321811971,-62.13529899372952,99946.52513877215
0.07,0.0,-0.06,,1,2020-05-05 11:00:00+00:00,2020-05-20 00:00:00+00:00,5,True,All checks passed,FTMO,-28.312580700964276,-46.72164846486703,100019.97152117164
0.04,0.0,0.0,,1,2020-05-22 23:00:00+00:00,2020-06-06 12:00:00+00:00,6,True,All checks passed,FTMO,-6.8303896768965675,-17.914320358497207,100002.06235066571
0.03,0.0,-0.04,,1,2020-06-09 11:00:00+00:00,2020-06-24 00:00:00+00:00,7,True,All checks passed,FTMO,-17.12254992571433,-28.378422898764256,99977.27073230123
0.0,0.0,-0.12,,1,2020-06-26 23:00:00+00:00,2020-07-11 12:00:00+00:00,8,True,All checks passed,FTMO,-13.72253208836972,-50.05113073633402,99981.02167409571
0.1,0.0,-0.01,,1,2020-07-14 11:00:00+00:00,2020-07-29 00:00:00+00:00,9,True,All checks passed,FTMO,-17.928150596728102,-32.63123710179934,100000.35390580288
0.02,0.0,-0.01,,1,2020-07-31 23:00:00+00:00,2020-08-15 12:00:00+00:00,10,True,All checks passed,FTMO,-10.476101646572829,-17.60031161775987,100012.55292881178
-0.01,0.0,-0.05,,1,2020-08-18 11:00:00+00:00,2020-09-02 00:00:00+00:00,11,True,All checks passed,FTMO,-10.791119280939407,-29.526712931256043,99985.72249989136
-0.09,0.0,-0.12,,1,2020-09-04 23:00:00+00:00,2020-09-19 12:00:00+00:00,12,True,All checks passed,FTMO,-13.349169714352398,-14.164316261056229,100030.45109292159
-0.0,0.0,-0.04,,1,2020-09-22 11:00:00+00:00,2020-10-07 00:00:00+00:00,13,True,All checks passed,FTMO,-21.49498969945125,-23.932460153024294,100000.93945577582
0.08,0.0,-0.04,,1,2020-10-09 23:00:00+00:00,2020-10-24 12:00:00+00:00,14,True,All checks passed,FTMO,-10.835092745704666,-17.16598329191038,100022.78731056425
0.16,0.0,-0.07,,1,2020-10-27 11:00:00+00:00,2020-11-11 00:00:00+00:00,15,True,All checks passed,FTMO,-16.873202852314645,-40.18904973368626,99978.90677494413
0.03,0.0,-0.0,,1,2020-11-13 23:00:00+00:00,2020-11-28 12:00:00+00:00,16,True,All checks passed,FTMO,-8.415666415584306,-10.559603093206533,100000.36437589797
0.06,0.0,-0.05,,1,2020-12-01 11:00:00+00:00,2020-12-16 00:00:00+00:00,17,True,All checks passed,FTMO,-10.13436986748907,-10.134369867490022,100033.10420588362
0.01,0.0,-0.0,,1,2020-12-18 23:00:00+00:00,2021-01-02 12:00:00+00:00,18,True,All checks passed,FTMO,-11.275111578412673,-24.920450112316757,99981.43231914281
-0.01,0.0,-0.06,,1,2021-01-05 11:00:00+00:00,2021-01-20 00:00:00+00:00,19,True,All checks passed,FTMO,-19.433729217238113,-28.155520706277457,99995.4790212856
-0.12,0.0,-0.13,,1,2021-01-22 23:00:00+00:00,2021-02-06 12:00:00+00:00,20,True,All checks passed,FTMO,-16.276743074756556,-26.28085664601531,100021.20592183659
0.12,0.0,-0.0,,1,2021-02-09 11:00:00+00:00,2021-02-24 00:00:00+00:00,21,True,All checks passed,FTMO,-5.870459807626507,-15.418839349717018,100012.52235174326
-0.03,0.0,-0.04,,1,2021-02-26 23:00:00+00:00,2021-03-13 12:00:00+00:00,22,True,All checks passed,FTMO,-15.892247468944204,-41.03788069894654,99961.70696962337
0.12,0.0,-0.03,,1,2021-03-16 11:00:00+00:00,2021-03-31 00:00:00+00:00,23,True,All checks passed,FTMO,-8.5297389988206,-16.309616976519465,100019.7735509843
-0.01,0.0,-0.04,,1,2021-04-02 23:00:00+00:00,2021-04-17 12:00:00+00:00,24,True,All checks passed,FTMO,-10.57621627148154,-25.333370441687293,99978.37875010213
0.05,0.0,-0.01,,1,2021-04-20 11:00:00+00:00,2021-05-05 00:00:00+00:00,25,True,All checks passed,FTMO,-6.830848775677744,-16.76829324942082,100031.54284881402
-0.04,0.0,-0.09,,1,2021-05-07 23:00:00+00:00,2021-05-22 12:00:00+00:00,26,True,All checks passed,FTMO,-16.613399385656088,-28.62899724408635,99993.1677019178
-0.01,0.0,-0.03,,1,2021-05-25 11:00:00+00:00,2021-06-09 00:00:00+00:00,27,True,All checks passed,FTMO,-5.968098445156563,-7.5939065711863805,100025.01262594179
0.01,0.0,-0.03,,1,2021-06-11 23:00:00+00:00,2021-06-26 12:00:00+00:00,28,True,All checks passed,FTMO,-7.386109058262685,-12.104626314467168,99995.2516392565
0.01,0.0,-0.02,,1,2021-06-29 11:00:00+00:00,2021-07-14 00:00:00+00:00,29,True,All checks passed,FTMO,-5.521360787134355,-15.206810845018481,99993.21281027514
0.03,0.0,-0.03,,1,2021-07-16 23:00:00+00:00,2021-07-31 12:00:00+00:00,30,True,All checks passed,FTMO,-10.078596924107567,-47.245868808051455,99967.49653349808
0.03,0.0,-0.01,,1,2021-08-03 11:00:00+00:00,2021-08-18 00:00:00+00:00,31,True,All checks passed,FTMO,-13.008775122060781,-20.793194539481192,99985.57026973563
0.03,0.0,-0.0,,1,2021-08-20 23:00:00+00:00,2021-09-04 12:00:00+00:00,32,True,All checks passed,FTMO,-13.654538126969094,-14.144026737689273,99994.22926783236
0.02,0.0,-0.02,,1,2021-09-07 11:00:00+00:00,2021-09-22 00:00:00+00:00,33,True,All checks passed,FTMO,-6.0650659742011035,-13.597218641356449,100004.76531089547
0.0,0.0,-0.03,,1,2021-09-24 23:00:00+00:00,2021-10-09 12:00:00+00:00,34,True,All checks passed,FTMO,-14.646959575889946,-41.05863545446482,99973.09191341729
-0.09,0.0,-0.09,,1,2021-10-12 11:00:00+00:00,2021-10-27 00:00:00+00:00,35,True,All checks passed,FTMO,-7.309460530343415,-22.4787268822256,99977.52127311777
-0.02,0.0,-0.07,,1,2021-10-29 23:00:00+00:00,2021-11-13 12:00:00+00:00,36,True,All checks passed,FTMO,-6.2481449683228,-16.924266219866695,99996.1857161825
0.1,0.0,-0.0,,1,2021-11-16 11:00:00+00:00,2021-12-01 00:00:00+00:00,37,True,All checks passed,FTMO,-5.511376480142432,-7.609667393800919,100044.34637341298
0.03,0.0,-0.01,,1,2021-12-03 23:00:00+00:00,2021-12-18 12:00:00+00:00,38,True,All checks passed,FTMO,-9.138184913859462,-14.694931829260895,100009.48846649415
-0.06,0.0,-0.08,,1,2021-12-21 11:00:00+00:00,2022-01-05 00:00:00+00:00,39,True,All checks passed,FTMO,-12.045122883417159,-16.61791770264972,100010.80543112289
0.03,0.0,-0.03,,1,2022-01-07 23:00:00+00:00,2022-01-22 12:00:00+00:00,40,True,All checks passed,FTMO,-18.599972259661516,-18.89450805002707,100010.14273762442
0.03,0.0,-0.04,,1,2022-01-25 11:00:00+00:00,2022-02-09 00:00:00+00:00,41,True,All checks passed,FTMO,-13.96338626107059,-55.48323007581348,99976.71369359619
0.01,0.0,-0.02,,1,2022-02-11 23:00:00+00:00,2022-02-26 12:00:00+00:00,42,True,All checks passed,FTMO,-20.339033956533502,-45.45373655266303,99956.95525753299
0.02,0.0,-0.02,,1,2022-03-01 11:00:00+00:00,2022-03-16 00:00:00+00:00,43,True,All checks passed,FTMO,-12.731242696402218,-47.44941118886345,99976.95352714583
0.05,0.0,-0.01,,1,2022-03-18 23:00:00+00:00,2022-04-02 12:00:00+00:00,44,True,All checks passed,FTMO,-13.482413318904184,-14.628944567826693,100010.27908602233
-0.07,0.0,-0.07,,1,2022-04-05 11:00:00+00:00,2022-04-20 00:00:00+00:00,45,True,All checks passed,FTMO,-11.321131077684804,-50.45878067286685,99949.54121932713
0.08,0.0,-0.04,,1,2022-04-22 23:00:00+00:00,2022-05-07 12:00:00+00:00,46,True,All checks passed,FTMO,-24.429519938023947,-75.03383357181156,99944.18996407073
0.03,0.0,-0.06,,1,2022-05-10 11:00:00+00:00,2022-05-25 00:00:00+00:00,47,True,All checks passed,FTMO,-9.64825606061004,-21.02230151448748,100034.80136476285
0.15,0.0,-0.01,,1,2022-05-27 23:00:00+00:00,2022-06-11 12:00:00+00:00,48,True,All checks passed,FTMO,-14.020291453697217,-26.428162523981882,100022.19347104289
-0.12,0.0,-0.12,,1,2022-06-14 11:00:00+00:00,2022-06-29 00:00:00+00:00,49,True,All checks passed,FTMO,-24.089231283847027,-68.42354040732607,99931.57645959267
0.0,0.0,-0.09,,1,2022-07-01 23:00:00+00:00,2022-07-16 12:00:00+00:00,50,True,All checks passed,FTMO,-23.104146429547193,-53.79150971102354,99982.0789747307
0.03,0.0,-0.02,,1,2022-07-19 11:00:00+00:00,2022-08-03 00:00:00+00:00,51,True,All checks passed,FTMO,-14.32101784014601,-31.43693111090397,99988.51861213733
0.06,0.0,-0.01,,1,2022-08-05 23:00:00+00:00,2022-08-20 12:00:00+00:00,52,True,All checks passed,FTMO,-10.428641134000973,-12.837979167888989,100026.43455502106
0.05,0.0,-0.01,,1,2022-08-23 11:00:00+00:00,2022-09-07 00:00:00+00:00,53,True,All checks passed,FTMO,-8.455416061614265,-9.468474765613792,100037.34299807901
-0.0,0.0,-0.12,,1,2022-09-09 23:00:00+00:00,2022-09-24 12:00:00+00:00,54,True,All checks passed,FTMO,-15.758136199364028,-31.760708671921748,100045.07477965535
-0.01,0.0,-0.08,,1,2022-09-27 11:00:00+00:00,2022-10-12 00:00:00+00:00,55,True,All checks passed,FTMO,-15.741474214449777,-28.79980987327872,100015.4567807447
-0.01,0.0,-0.02,,1,2022-10-14 23:00:00+00:00,2022-10-29 12:00:00+00:00,56,True,All checks passed,FTMO,-8.011119047159552,-36.67427840530581,99979.33624473217
-0.21,0.0,-0.21,,1,2022-11-01 11:00:00+00:00,2022-11-16 00:00:00+00:00,57,True,All checks passed,FTMO,-34.782318895319776,-95.15768231496622,99918.80027882829
0.0,0.0,-0.05,,1,2022-11-18 23:00:00+00:00,2022-12-03 12:00:00+00:00,58,True,All checks passed,FTMO,-10.689634109095323,-29.801110976783093,100003.16499945524
-0.07,0.0,-0.08,,1,2022-12-06 11:00:00+00:00,2022-12-21 00:00:00+00:00,59,True,All checks passed,FTMO,-11.308045658499077,-29.375353599825758,99977.31252576846
0.01,0.0,-0.04,,1,2022-12-23 23:00:00+00:00,2023-01-07 12:00:00+00:00,60,True,All checks passed,FTMO,-9.651178822556222,-18.619472429549205,100010.6628351117
0.05,0.0,-0.04,,1,2023-01-10 11:00:00+00:00,2023-01-25 00:00:00+00:00,61,True,All checks passed,FTMO,-19.962994337687938,-31.540218412468676,99977.2700060456
-0.04,0.0,-0.06,,1,2023-01-27 23:00:00+00:00,2023-02-11 12:00:00+00:00,62,True,All checks passed,FTMO,-26.89195621132798,-63.32214671539259,99976.95738160427
-0.03,0.0,-0.03,,1,2023-02-14 11:00:00+00:00,2023-03-01 00:00:00+00:00,63,True,All checks passed,FTMO,-15.630127097324635,-24.519988836837,99993.6868848689
-0.05,0.0,-0.14,,1,2023-03-03 23:00:00+00:00,2023-03-18 12:00:00+00:00,64,True,All checks passed,FTMO,-27.871673529592417,-45.700093398452736,99970.71605979193
0.07,0.0,-0.01,,1,2023-03-21 11:00:00+00:00,2023-04-05 00:00:00+00:00,65,True,All checks passed,FTMO,-13.47271059471039,-20.497805333463475,100005.46288012742
0.08,0.0,-0.03,,1,2023-04-07 23:00:00+00:00,2023-04-22 12:00:00+00:00,66,True,All checks passed,FTMO,-13.995801259622016,-21.867627621570136,99992.93320462389
0.3,0.0,0.0,,1,2023-04-25 11:00:00+00:00,2023-05-10 00:00:00+00:00,67,True,All checks passed,FTMO,-20.446989460994438,-42.06005243983236,100023.46038281926
-0.09,0.0,-0.1,,1,2023-05-12 23:00:00+00:00,2023-05-27 12:00:00+00:00,68,True,All checks passed,FTMO,-12.280860814163335,-27.005073967346107,99983.79093015792
-0.04,0.0,-0.1,,1,2023-05-30 11:00:00+00:00,2023-06-14 00:00:00+00:00,69,True,All checks passed,FTMO,-14.433333068986633,-30.11344468893367,100001.09863221982
0.09,0.0,-0.0,,1,2023-06-16 23:00:00+00:00,2023-07-01 12:00:00+00:00,70,True,All checks passed,FTMO,-13.539667904341794,-24.19112425314961,99999.38977560513
0.02,0.0,-0.04,,1,2023-07-04 11:00:00+00:00,2023-07-19 00:00:00+00:00,71,True,All checks passed,FTMO,-18.780722812862443,-21.446079616376664,99990.1413970083
0.18,0.0,-0.01,,1,2023-07-21 23:00:00+00:00,2023-08-05 12:00:00+00:00,72,True,All checks passed,FTMO,-12.338443505351758,-13.036686548934085,100038.9472273377
-0.05,0.0,-0.05,,1,2023-08-08 11:00:00+00:00,2023-08-23 00:00:00+00:00,73,True,All checks passed,FTMO,-8.792250586787203,-27.307704984021257,99986.61869533421
0.05,0.0,-0.03,,1,2023-08-25 23:00:00+00:00,2023-09-09 12:00:00+00:00,74,True,All checks passed,FTMO,-17.91222183771422,-17.91222183771606,100016.95566035145
0.03,0.0,-0.03,,1,2023-09-12 11:00:00+00:00,2023-09-27 00:00:00+00:00,75,True,All checks passed,FTMO,-8.373014139472614,-23.726250254781917,100003.03800555455
-0.04,0.0,-0.04,,1,2023-09-29 23:00:00+00:00,2023-10-14 12:00:00+00:00,76,True,All checks passed,FTMO,-10.813635928654987,-28.35750844863651,99983.8585326422
0.11,0.0,-0.05,,1,2023-10-17 11:00:00+00:00,2023-11-01 00:00:00+00:00,77,True,All checks passed,FTMO,-9.7790047178768,-16.07925175980199,100033.66985249007
-0.08,0.0,-0.08,,1,2023-11-03 23:00:00+00:00,2023-11-18 12:00:00+00:00,78,True,All checks passed,FTMO,-9.297109041807618,-27.782831398624694,99972.820853314
0.05,0.0,-0.02,,1,2023-11-21 11:00:00+00:00,2023-12-06 00:00:00+00:00,79,True,All checks passed,FTMO,-10.027924023386303,-14.023399202123983,100002.83643561407
0.02,0.0,-0.03,,1,2023-12-08 23:00:00+00:00,2023-12-23 12:00:00+00:00,80,True,All checks passed,FTMO,-5.368891067421273,-6.287153367666178,100026.2500070343
-0.05,0.0,-0.06,,1,2023-12-26 11:00:00+00:00,2024-01-10 00:00:00+00:00,81,True,All checks passed,FTMO,-10.248912396883807,-26.66107539056975,99976.0541475115
-0.01,0.0,-0.05,,1,2024-01-12 23:00:00+00:00,2024-01-27 12:00:00+00:00,82,True,All checks passed,FTMO,-15.219283962596396,-16.86263779885485,100003.48024735556
0.06,0.0,-0.06,,1,2024-01-30 11:00:00+00:00,2024-02-14 00:00:00+00:00,83,True,All checks passed,FTMO,-19.25541077042649,-31.96793589706067,99992.71340788131
0.03,0.0,-0.03,,1,2024-02-16 23:00:00+00:00,2024-03-02 12:00:00+00:00,84,True,All checks passed,FTMO,-8.682285291354715,-29.02275171142537,99983.77419862068
-0.08,0.0,-0.08,,1,2024-03-05 11:00:00+00:00,2024-03-20 00:00:00+00:00,85,True,All checks passed,FTMO,-12.804550213645001,-28.130789472459583,99984.41285291658
-0.0,0.0,-0.01,,1,2024-03-22 23:00:00+00:00,2024-04-06 12:00:00+00:00,86,True,All checks passed,FTMO,-10.196769379449913,-10.19676937944314,100018.71012825698
0.0,0.0,-0.04,,1,2024-04-09 11:00:00+00:00,2024-04-24 00:00:00+00:00,87,True,All checks passed,FTMO,-6.015490368168465,-8.77319784660358,100040.17936830474
-0.03,0.0,-0.04,,1,2024-04-26 23:00:00+00:00,2024-05-11 12:00:00+00:00,88,True,All checks passed,FTMO,-15.547865647081558,-32.369187921023695,99971.95565430072
-0.08,0.0,-0.09,,1,2024-05-14 11:00:00+00:00,2024-05-29 00:00:00+00:00,89,True,All checks passed,FTMO,-8.474279101843402,-27.734889075698447,99984.42865794968
0.12,0.0,-0.01,,1,2024-05-31 23:00:00+00:00,2024-06-15 12:00:00+00:00,90,True,All checks passed,FTMO,-8.35573845970203,-9.773055778103299,100021.9948928075
-0.03,0.0,-0.05,,1,2024-06-18 11:00:00+00:00,2024-07-03 00:00:00+00:00,91,True,All checks passed,FTMO,-8.537721204594803,-16.23601465327374,99991.82745220608
-0.05,0.0,-0.09,,1,2024-07-05 23:00:00+00:00,2024-07-20 12:00:00+00:00,92,True,All checks passed,FTMO,-13.547207008702857,-19.42983771895524,100001.78128107006
0.23,0.0,-0.1,,1,2024-07-23 11:00:00+00:00,2024-08-07 00:00:00+00:00,93,True,All checks passed,FTMO,-17.1329985309693,-29.00429244294355,100039.15629407887
0.03,0.0,-0.03,,1,2024-08-09 23:00:00+00:00,2024-08-24 12:00:00+00:00,94,True,All checks passed,FTMO,-7.874158827840672,-22.4966078420548,99989.33513852431
-0.0,0.0,-0.05,,1,2024-08-27 11:00:00+00:00,2024-09-11 00:00:00+00:00,95,True,All checks passed,FTMO,-9.68892104175279,-29.7520297903975,100026.21228450771
-0.04,0.0,-0.07,,1,2024-09-13 23:00:00+00:00,2024-09-28 12:00:00+00:00,96,True,All checks passed,FTMO,-5.598677458409394,-12.076089711074019,100013.67515826436
0.09,0.0,-0.01,,1,2024-10-01 11:00:00+00:00,2024-10-16 00:00:00+00:00,97,True,All checks passed,FTMO,-10.130667410795626,-24.194099036685657,100002.46233477085
0.14,0.0,-0.03,,1,2024-10-18 23:00:00+00:00,2024-11-02 12:00:00+00:00,98,True,All checks passed,FTMO,-10.5425452121011,-14.100879369550967,100015.23301281017
-0.17,0.0,-0.17,,1,2024-11-05 11:00:00+00:00,2024-11-20 00:00:00+00:00,99,True,All checks passed,FTMO,-13.67973716963994,-52.24980983174464,99947.75019016826
-0.0,0.0,-0.01,,1,2024-11-22 23:00:00+00:00,2024-12-07 12:00:00+00:00,100,True,All checks passed,FTMO,-5.142517059866909,-14.986757753868005,99996.61809452371
0.11,0.0,-0.03,,1,2024-12-10 11:00:00+00:00,2024-12-25 00:00:00+00:00,101,True,All checks passed,FTMO,-14.315977369368614,-33.93382607794774,100012.37387090863
