total_return_pct,win_rate,max_drawdown_pct,sharpe_ratio,num_trades,window_start,window_end,window_number,compliance_passed,compliance_notes,compliance_firm,worst_daily_pnl,max_drawdown_amount,final_equity
0.03,0.0,-0.07,,1,2020-02-25 11:00:00+00:00,2020-03-11 00:00:00+00:00,1,True,All checks passed,FTMO,-23.984339672037542,-56.25233867118368,99991.93391707329
-0.1,0.0,-0.13,,1,2020-03-13 23:00:00+00:00,2020-03-28 12:00:00+00:00,2,True,All checks passed,FTMO,-37.94041791299284,-157.0033952419326,99914.09243508622
0.1,0.0,-0.08,,1,2020-03-31 11:00:00+00:00,2020-04-15 00:00:00+00:00,3,True,All checks passed,FTMO,-19.235982907086445,-23.30257480664295,100015.69653930835
0.11,0.0,-0.02,,1,2020-04-17 23:00:00+00:00,2020-05-02 12:00:00+00:00,4,True,All checks passed,FTMO,-31.89116341752451,-41.18566294289485,99969.41819322054
-0.05,0.0,-0.12,,1,2020-05-05 11:00:00+00:00,2020-05-20 00:00:00+00:00,5,True,All checks passed,FTMO,-19.523686588356757,-36.77961777197197,100002.78176102704
0.1,0.0,-0.0,,1,2020-05-22 23:00:00+00:00,2020-06-06 12:00:00+00:00,6,True,All checks passed,FTMO,-7.518510245332234,-7.51851024532516,100028.57754315314
0.06,0.0,-0.03,,1,2020-06-09 11:00:00+00:00,2020-06-24 00:00:00+00:00,7,True,All checks passed,FTMO,-14.992371482838335,-21.403346486928058,99992.80866579505
0.01,0.0,-0.07,,1,2020-06-26 23:00:00+00:00,2020-07-11 12:00:00+00:00,8,True,All checks passed,FTMO,-17.879769816744844,-18.42256506557169,100020.55552935507
0.04,0.0,-0.03,,1,2020-07-14 11:00:00+00:00,2020-07-29 00:00:00+00:00,9,True,All checks passed,FTMO,-9.781917660431047,-39.76675674672879,99992.66450860004
0.03,0.0,-0.02,,1,2020-07-31 23:00:00+00:00,2020-08-15 12:00:00+00:00,10,True,All checks passed,FTMO,-10.053234269081967,-30.38626335693698,99988.7965500849
0.09,0.0,-0.07,,1,2020-08-18 11:00:00+00:00,2020-09-02 00:00:00+00:00,11,True,All checks passed,FTMO,-13.599710605484754,-27.57181315564958,99980.91879784233
-0.04,0.0,-0.07,,1,2020-09-04 23:00:00+00:00,2020-09-19 12:00:00+00:00,12,True,All checks passed,FTMO,-7.123367856569712,-32.24782653391594,100003.32389236135
-0.15,0.0,-0.15,,1,2020-09-22 11:00:00+00:00,2020-10-07 00:00:00+00:00,13,True,All checks passed,FTMO,-24.27904849484487,-57.663274508027826,99946.85904146098
0.05,0.0,-0.03,,1,2020-10-09 23:00:00+00:00,2020-10-24 12:00:00+00:00,14,True,All checks passed,FTMO,-11.214673098411245,-22.263494531216566,100022.17593300475
-0.28,0.0,-0.28,,1,2020-10-27 11:00:00+00:00,2020-11-11 00:00:00+00:00,15,True,All checks passed,FTMO,-37.867443340797735,-83.8517293735058,99916.1482706265
0.02,0.0,-0.02,,1,2020-11-13 23:00:00+00:00,2020-11-28 12:00:00+00:00,16,True,All checks passed,FTMO,-10.64538215515063,-12.367855087723001,100014.15657320322
0.05,0.0,0.0,,1,2020-12-01 11:00:00+00:00,2020-12-16 00:00:00+00:00,17,True,All checks passed,FTMO,-4.2547558715631295,-8.35161118193355,100029.06013748208
-0.0,0.0,-0.05,,1,2020-12-18 23:00:00+00:00,2021-01-02 12:00:00+00:00,18,True,All checks passed,FTMO,-11.771012688706499,-18.730481117105228,99987.66330114973
0.05,0.0,-0.01,,1,2021-01-05 11:00:00+00:00,2021-01-20 00:00:00+00:00,19,True,All checks passed,FTMO,-5.945626804675261,-14.036085995292524,99991.16282084021
0.02,0.0,-0.04,,1,2021-01-22 23:00:00+00:00,2021-02-06 12:00:00+00:00,20,True,All checks passed,FTMO,-13.140042031013893,-33.48490603848768,99991.41937960108
0.07,0.0,-0.0,,1,2021-02-09 11:00:00+00:00,2021-02-24 00:00:00+00:00,21,True,All checks passed,FTMO,-9.520466253309436,-13.206321704099537,100038.11947271327
0.02,0.0,-0.04,,1,2021-02-26 23:00:00+00:00,2021-03-13 12:00:00+00:00,22,True,All checks passed,FTMO,-14.09140558628225,-16.71340723997855,100022.0987968456
-0.06,0.0,-0.07,,1,2021-03-16 11:00:00+00:00,2021-03-31 00:00:00+00:00,23,True,All checks passed,FTMO,-5.946876284422444,-16.513283064734424,99996.02605723364
0.02,0.0,-0.02,,1,2021-04-02 23:00:00+00:00,2021-04-17 12:00:00+00:00,24,True,All checks passed,FTMO,-7.314680027988068,-16.48376514604024,99993.46008495374
0.09,0.0,-0.0,,1,2021-04-20 11:00:00+00:00,2021-05-05 00:00:00+00:00,25,True,All checks passed,FTMO,-5.262424739587417,-15.009207306313328,100027.6849554449
0.01,0.0,-0.1,,1,2021-05-07 23:00:00+00:00,2021-05-22 12:00:00+00:00,26,True,All checks passed,FTMO,-13.701626449091416,-31.231367024505744,100005.07063060759
0.05,0.0,-0.02,,1,2021-05-25 11:00:00+00:00,2021-06-09 00:00:00+00:00,27,True,All checks passed,FTMO,-5.8209836618768245,-8.277926176073379,100015.4339033043
0.02,0.0,-0.02,,1,2021-06-11 23:00:00+00:00,2021-06-26 12:00:00+00:00,28,True,All checks passed,FTMO,-9.606664719715951,-24.487522381547024,99979.64261000296
0.03,0.0,-0.01,,1,2021-06-29 11:00:00+00:00,2021-07-14 00:00:00+00:00,29,True,All checks passed,FTMO,-8.10082629148555,-21.12610999784374,99984.92123800199
-0.01,0.0,-0.06,,1,2021-07-16 23:00:00+00:00,2021-07-31 12:00:00+00:00,30,True,All checks passed,FTMO,-11.120850034817545,-31.56065763179504,99986.24902247982
0.01,0.0,-0.02,,1,2021-08-03 11:00:00+00:00,2021-08-18 00:00:00+00:00,31,True,All checks passed,FTMO,-7.536209940226492,-14.174856664249091,100007.37530007468
0.02,0.0,-0.03,,1,2021-08-20 23:00:00+00:00,2021-09-04 12:00:00+00:00,32,True,All checks passed,FTMO,-6.844970225541864,-9.744738016044721,100010.08898973696
-0.04,0.0,-0.06,,1,2021-09-07 11:00:00+00:00,2021-09-22 00:00:00+00:00,33,True,All checks passed,FTMO,-8.956601409342595,-24.352473103470402,99996.41044454863
-0.02,0.0,-0.05,,1,2021-09-24 23:00:00+00:00,2021-10-09 12:00:00+00:00,34,True,All checks passed,FTMO,-13.36167207825929,-37.394516538784956,99969.4126229727
-0.03,0.0,-0.05,,1,2021-10-12 11:00:00+00:00,2021-10-27 00:00:00+00:00,35,True,All checks passed,FTMO,-9.403029383215841,-19.153870243477286,99986.15546515769
-0.03,0.0,-0.03,,1,2021-10-29 23:00:00+00:00,2021-11-13 12:00:00+00:00,36,True,All checks passed,FTMO,-6.310153036235371,-6.310153036232805,100004.56303959462
0.09,0.0,0.0,,1,2021-11-16 11:00:00+00:00,2021-12-01 00:00:00+00:00,37,True,All checks passed,FTMO,-9.030237478308376,-16.60747606283985,100015.94568800274
0.0,0.0,-0.05,,1,2021-12-03 23:00:00+00:00,2021-12-18 12:00:00+00:00,38,True,All checks passed,FTMO,-11.39941374443609,-32.039031321706716,100007.06874037272
0.01,0.0,-0.05,,1,2021-12-21 11:00:00+00:00,2022-01-05 00:00:00+00:00,39,True,All checks passed,FTMO,-15.209693246298857,-24.776096879752004,99984.69124514668
0.09,0.0,-0.01,,1,2022-01-07 23:00:00+00:00,2022-01-22 12:00:00+00:00,40,True,All checks passed,FTMO,-12.881995816539856,-29.714142079639714,100012.807646413
0.16,0.0,-0.01,,1,2022-01-25 11:00:00+00:00,2022-02-09 00:00:00+00:00,41,True,All checks passed,FTMO,-5.955226128350074,-18.07993635351886,100069.61040425336
-0.01,0.0,-0.02,,1,2022-02-11 23:00:00+00:00,2022-02-26 12:00:00+00:00,42,True,All checks passed,FTMO,-12.830104248967004,-20.522750824384275,100007.82116141112
-0.11,0.0,-0.11,,1,2022-03-01 11:00:00+00:00,2022-03-16 00:00:00+00:00,43,True,All checks passed,FTMO,-14.939782809383908,-57.463331456907326,99945.4698860678
0.03,0.0,-0.03,,1,2022-03-18 23:00:00+00:00,2022-04-02 12:00:00+00:00,44,True,All checks passed,FTMO,-9.98885845745822,-23.284880195205915,100007.87854542036
0.03,0.0,-0.02,,1,2022-04-05 11:00:00+00:00,2022-04-20 00:00:00+00:00,45,True,All checks passed,FTMO,-16.667436779257166,-19.121355883718934,99998.68166989792
0.06,0.0,-0.04,,1,2022-04-22 23:00:00+00:00,2022-05-07 12:00:00+00:00,46,True,All checks passed,FTMO,-15.018716493274974,-33.9852778968052,99987.16139138561
-0.1,0.0,-0.13,,1,2022-05-10 11:00:00+00:00,2022-05-25 00:00:00+00:00,47,True,All checks passed,FTMO,-19.787339714646976,-37.60503865253122,99969.94859520462
-0.01,0.0,-0.02,,1,2022-05-27 23:00:00+00:00,2022-06-11 12:00:00+00:00,48,True,All checks passed,FTMO,-8.974514729569231,-8.974514729576185,100024.28038627043
-0.12,0.0,-0.12,,1,2022-06-14 11:00:00+00:00,2022-06-29 00:00:00+00:00,49,True,All checks passed,FTMO,-16.75485343776471,-55.20424273959361,99944.7957572604
0.17,0.0,-0.05,,1,2022-07-01 23:00:00+00:00,2022-07-16 12:00:00+00:00,50,True,All checks passed,FTMO,-15.34441841948625,-15.344418419481372,100037.49301652111
-0.01,0.0,-0.06,,1,2022-07-19 11:00:00+00:00,2022-08-03 00:00:00+00:00,51,True,All checks passed,FTMO,-26.528810339966505,-54.00095819430135,99949.5788990545
0.01,0.0,-0.01,,1,2022-08-05 23:00:00+00:00,2022-08-20 12:00:00+00:00,52,True,All checks passed,FTMO,-5.341240194886798,-8.101378153805854,100002.10574017455
-0.03,0.0,-0.05,,1,2022-08-23 11:00:00+00:00,2022-09-07 00:00:00+00:00,53,True,All checks passed,FTMO,-16.83316463495128,-24.049593342322623,100016.30392276081
-0.04,0.0,-0.07,,1,2022-09-09 23:00:00+00:00,2022-09-24 12:00:00+00:00,54,True,All checks passed,FTMO,-15.995652122913578,-27.18309182464145,99985.70002825394
0.02,0.0,-0.01,,1,2022-09-27 11:00:00+00:00,2022-10-12 00:00:00+00:00,55,True,All checks passed,FTMO,-3.6755425853678534,-3.997646568575874,100001.07072746094
-0.01,0.0,-0.02,,1,2022-10-14 23:00:00+00:00,2022-10-29 12:00:00+00:00,56,True,All checks passed,FTMO,-9.12530975822118,-16.337212519618333,100006.87930947718
-0.06,0.0,-0.06,,1,2022-11-01 11:00:00+00:00,2022-11-16 00:00:00+00:00,57,True,All checks passed,FTMO,-28.439325758345213,-93.57719627009647,99914.10285496723
-0.02,0.0,-0.03,,1,2022-11-18 23:00:00+00:00,2022-12-03 12:00:00+00:00,58,True,All checks passed,FTMO,-16.184839794424178,-31.782645804138156,99987.20613768158
0.11,0.0,-0.03,,1,2022-12-06 11:00:00+00:00,2022-12-21 00:00:00+00:00,59,True,All checks passed,FTMO,-18.905196414490142,-18.905196414489183,100036.42514212764
0.0,0.0,-0.01,,1,2022-12-23 23:00:00+00:00,2023-01-07 12:00:00+00:00,60,True,All checks passed,FTMO,-3.725171129251285,-4.211286397447111,100009.676500228
-0.04,0.0,-0.06,,1,2023-01-10 11:00:00+00:00,2023-01-25 00:00:00+00:00,61,True,All checks passed,FTMO,-15.827642108167739,-15.82764210816822,99996.80848936611
0.02,0.0,-0.07,,1,2023-01-27 23:00:00+00:00,2023-02-11 12:00:00+00:00,62,True,All checks passed,FTMO,-25.228024766938024,-48.50599138489633,99990.36546075897
-0.02,0.0,-0.03,,1,2023-02-14 11:00:00+00:00,2023-03-01 00:00:00+00:00,63,True,All checks passed,FTMO,-8.554446155417844,-9.2131128769106,100017.31156776818
-0.07,0.0,-0.16,,1,2023-03-03 23:00:00+00:00,2023-03-18 12:00:00+00:00,64,True,All checks passed,FTMO,-14.537534191064713,-39.77707990273484,99973.22651163198
-0.01,0.0,-0.05,,1,2023-03-21 11:00:00+00:00,2023-04-05 00:00:00+00:00,65,True,All checks passed,FTMO,-12.049041961960347,-21.343377965240506,100002.37904814094
0.1,0.0,0.0,,1,2023-04-07 23:00:00+00:00,2023-04-22 12:00:00+00:00,66,True,All checks passed,FTMO,-7.1938675685497175,-22.652268625359284,100016.17799325984
-0.02,0.0,-0.07,,1,2023-04-25 11:00:00+00:00,2023-05-10 00:00:00+00:00,67,True,All checks passed,FTMO,-12.488510570275347,-14.509303601487773,100015.3591695525
-0.07,0.0,-0.08,,1,2023-05-12 23:00:00+00:00,2023-05-27 12:00:00+00:00,68,True,All checks passed,FTMO,-15.75105999139194,-31.482942449263646,99976.807497565
-0.08,0.0,-0.08,,1,2023-05-30 11:00:00+00:00,2023-06-14 00:00:00+00:00,69,True,All checks passed,FTMO,-11.674469809700133,-18.730045644726488,99991.70536690066
-0.04,0.0,-0.04,,1,2023-06-16 23:00:00+00:00,2023-07-01 12:00:00+00:00,70,True,All checks passed,FTMO,-7.222323760560772,-12.625971446788753,100001.67111783924
0.06,0.0,-0.02,,1,2023-07-04 11:00:00+00:00,2023-07-19 00:00:00+00:00,71,True,All checks passed,FTMO,-5.832715024320138,-5.8327150243130745,100015.36802358019
-0.04,0.0,-0.06,,1,2023-07-21 23:00:00+00:00,2023-08-05 12:00:00+00:00,72,True,All checks passed,FTMO,-14.07119385984266,-23.159872172560426,99981.30465888768
0.07,0.0,-0.03,,1,2023-08-08 11:00:00+00:00,2023-08-23 00:00:00+00:00,73,True,All checks passed,FTMO,-8.299495643625587,-8.299495643630507,100028.23937015311
0.03,0.0,-0.0,,1,2023-08-25 23:00:00+00:00,2023-09-09 12:00:00+00:00,74,True,All checks passed,FTMO,-1.7151159285738917,-1.715115928571322,100036.49875584568
0.13,0.0,-0.01,,1,2023-09-12 11:00:00+00:00,2023-09-27 00:00:00+00:00,75,True,All checks passed,FTMO,-4.92972327779393,-5.484599651390454,100010.86129920871
-0.01,0.0,-0.02,,1,2023-09-29 23:00:00+00:00,2023-10-14 12:00:00+00:00,76,True,All checks passed,FTMO,-15.250794991553219,-39.39565918825974,99985.72519757913
0.04,0.0,-0.0,,1,2023-10-17 11:00:00+00:00,2023-11-01 00:00:00+00:00,77,True,All checks passed,FTMO,-12.558507782331292,-23.544141408769065,100029.0438786243
-0.0,0.0,-0.01,,1,2023-11-03 23:00:00+00:00,2023-11-18 12:00:00+00:00,78,True,All checks passed,FTMO,-1.063317714437904,-1.1865847404842498,100001.36667919955
-0.06,0.0,-0.06,,1,2023-11-21 11:00:00+00:00,2023-12-06 00:00:00+00:00,79,True,All checks passed,FTMO,-6.074535337491723,-15.244462172558997,99986.87357236819
-0.0,0.0,-0.02,,1,2023-12-08 23:00:00+00:00,2023-12-23 12:00:00+00:00,80,True,All checks passed,FTMO,-5.850203361631422,-8.618638702188036,100003.43203229758
0.04,0.0,-0.0,,1,2023-12-26 11:00:00+00:00,2024-01-10 00:00:00+00:00,81,True,All checks passed,FTMO,-5.625197855985215,-9.929754114564275,100013.0869211494
-0.05,0.0,-0.05,,1,2024-01-12 23:00:00+00:00,2024-01-27 12:00:00+00:00,82,True,All checks passed,FTMO,-8.963419421670725,-18.59352609673806,99991.36530660854
-0.12,0.0,-0.12,,1,2024-01-30 11:00:00+00:00,2024-02-14 00:00:00+00:00,83,True,All checks passed,FTMO,-21.488860499634512,-50.816918403535965,99949.18308159646
0.09,0.0,-0.01,,1,2024-02-16 23:00:00+00:00,2024-03-02 12:00:00+00:00,84,True,All checks passed,FTMO,-9.201473211997646,-13.552275050999015,100015.18446236964
0.07,0.0,-0.0,,1,2024-03-05 11:00:00+00:00,2024-03-20 00:00:00+00:00,85,True,All checks passed,FTMO,-8.862369597433565,-23.20022486691596,99978.31950925435
0.01,0.0,-0.01,,1,2024-03-22 23:00:00+00:00,2024-04-06 12:00:00+00:00,86,True,All checks passed,FTMO,-4.284831129333611,-8.294214397043106,100017.36349841181
-0.02,0.0,-0.07,,1,2024-04-09 11:00:00+00:00,2024-04-24 00:00:00+00:00,87,True,All checks passed,FTMO,-8.899415416706956,-17.236381378141232,100002.38096759742
-0.04,0.0,-0.04,,1,2024-04-26 23:00:00+00:00,2024-05-11 12:00:00+00:00,88,True,All checks passed,FTMO,-14.466088924267675,-14.466088924265932,100002.97343196893
0.03,0.0,-0.02,,1,2024-05-14 11:00:00+00:00,2024-05-29 00:00:00+00:00,89,True,All checks passed,FTMO,-11.43135564634008,-13.739317880550516,100015.03766660366
-0.01,0.0,-0.05,,1,2024-05-31 23:00:00+00:00,2024-06-15 12:00:00+00:00,90,True,All checks passed,FTMO,-13.891977323319638,-13.891977323321044,100003.36800469183
0.02,0.0,-0.02,,1,2024-06-18 11:00:00+00:00,2024-07-03 00:00:00+00:00,91,True,All checks passed,FTMO,-7.009090158022741,-15.930565625065356,100004.82111515244
-0.02,0.0,-0.05,,1,2024-07-05 23:00:00+00:00,2024-07-20 12:00:00+00:00,92,True,All checks passed,FTMO,-13.421494342110323,-27.047105201680097,99980.84303642786
-0.02,0.0,-0.03,,1,2024-07-23 11:00:00+00:00,2024-08-07 00:00:00+00:00,93,True,All checks passed,FTMO,-11.8812692473147,-35.4504653023032,99986.02408921841
0.01,0.0,-0.02,,1,2024-08-09 23:00:00+00:00,2024-08-24 12:00:00+00:00,94,True,All checks passed,FTMO,-3.848145871350994,-9.387455232150387,100016.85213892533
