total_return_pct,win_rate,max_drawdown_pct,sharpe_ratio,num_trades,window_start,window_end,window_number,compliance_passed,compliance_notes,compliance_firm,worst_daily_pnl,max_drawdown_amount,final_equity
0.01,0.0,-0.17,,1,2020-02-25 11:00:00+00:00,2020-03-11 00:00:00+00:00,1,True,All checks passed,FTMO,-24.676592788707307,-61.83376645541284,99951.86716555843
-0.21,0.0,-0.25,,1,2020-03-13 23:00:00+00:00,2020-03-28 12:00:00+00:00,2,True,All checks passed,FTMO,-36.03017376424938,-75.87834078269952,99958.60217911527
-0.02,0.0,-0.14,,1,2020-03-31 11:00:00+00:00,2020-04-15 00:00:00+00:00,3,True,All checks passed,FTMO,-28.976532798913162,-29.30416418115783,99974.20393063208
-0.01,0.0,-0.05,,1,2020-04-17 23:00:00+00:00,2020-05-02 12:00:00+00:00,4,True,All checks passed,FTMO,-19.52112026738898,-25.68201144503837,99995.57722341346
-0.0,0.0,-0.1,,1,2020-05-05 11:00:00+00:00,2020-05-20 00:00:00+00:00,5,True,All checks passed,FTMO,-11.0659249582087,-16.838335644628387,100036.91036523672
-0.03,0.0,-0.05,,1,2020-05-22 23:00:00+00:00,2020-06-06 12:00:00+00:00,6,True,All checks passed,FTMO,-10.524493336041317,-13.196138160172268,100010.01888587544
0.01,0.0,-0.06,,1,2020-06-09 11:00:00+00:00,2020-06-24 00:00:00+00:00,7,True,All checks passed,FTMO,-14.081872419745457,-38.97477383479418,99986.25223949295
0.01,0.0,-0.04,,1,2020-06-26 23:00:00+00:00,2020-07-11 12:00:00+00:00,8,True,All checks passed,FTMO,-7.698631209468056,-21.68522593403759,99987.33120905417
0.05,0.0,-0.01,,1,2020-07-14 11:00:00+00:00,2020-07-29 00:00:00+00:00,9,True,All checks passed,FTMO,-5.226780794962578,-12.568603080580942,99999.62552010403
0.0,0.0,-0.01,,1,2020-07-31 23:00:00+00:00,2020-08-15 12:00:00+00:00,10,True,All checks passed,FTMO,-5.146293164157661,-7.846483179499046,100016.80894082846
-0.01,0.0,-0.03,,1,2020-08-18 11:00:00+00:00,2020-09-02 00:00:00+00:00,11,True,All checks passed,FTMO,-5.570578063527847,-15.177147376074572,99991.2585708089
-0.02,0.0,-0.06,,1,2020-09-04 23:00:00+00:00,2020-09-19 12:00:00+00:00,12,True,All checks passed,FTMO,-9.97283674795672,-11.396229606907582,100009.71679705274
0.04,0.0,-0.01,,1,2020-09-22 11:00:00+00:00,2020-10-07 00:00:00+00:00,13,True,All checks passed,FTMO,-16.53153755454799,-16.531537554546958,100005.59597415231
0.06,0.0,-0.0,,1,2020-10-09 23:00:00+00:00,2020-10-24 12:00:00+00:00,14,True,All checks passed,FTMO,-3.7845192938260404,-6.850936453076429,100036.75273359782
-0.1,0.0,-0.13,,1,2020-10-27 11:00:00+00:00,2020-11-11 00:00:00+00:00,15,True,All checks passed,FTMO,-14.359027525789239,-32.90730340385926,99973.32380936797
-0.04,0.0,-0.04,,1,2020-11-13 23:00:00+00:00,2020-11-28 12:00:00+00:00,16,True,All checks passed,FTMO,-9.865852201196718,-12.57133195635106,99991.1202796958
0.0,0.0,-0.01,,1,2020-12-01 11:00:00+00:00,2020-12-16 00:00:00+00:00,17,True,All checks passed,FTMO,-6.732371281728423,-6.732371281730593,100000.37380658876
0.02,0.0,-0.01,,1,2020-12-18 23:00:00+00:00,2021-01-02 12:00:00+00:00,18,True,All checks passed,FTMO,-4.028975735699266,-4.028975735694985,100003.29354641416
