Gmt time,Open,High,Low,Close,Volume
03.01.2023 14:30:00.000,243.037,243.997,241.676,243.227,2427599.97
03.01.2023 14:35:00.000,243.247,244.917,242.446,244.686,2954400.06
03.01.2023 14:40:00.000,244.737,245.716,244.276,244.386,2552399.99
03.01.2023 14:45:00.000,244.456,244.696,242.856,243.357,3028800.01
03.01.2023 14:50:00.000,243.306,243.547,241.676,241.906,3026399.97
03.01.2023 14:55:00.000,241.907,242.217,241.197,241.206,2890799.94
03.01.2023 15:00:00.000,241.206,241.797,241.136,241.316,2145599.99
03.01.2023 15:05:00.000,241.316,241.756,241.006,241.167,2407199.95
03.01.2023 15:10:00.000,241.137,241.206,240.156,240.247,1974000.01
03.01.2023 15:15:00.000,240.297,240.547,239.746,239.877,2194800.02
03.01.2023 15:20:00.000,239.877,240.147,239.556,239.876,2053200.01
03.01.2023 15:25:00.000,239.897,240.027,239.316,239.727,1688400.03
03.01.2023 15:30:00.000,239.726,239.726,238.596,238.796,1947600.04
03.01.2023 15:35:00.000,238.806,239.287,238.796,238.926,1609200
03.01.2023 15:40:00.000,238.926,239.466,238.746,238.776,1397999.99
03.01.2023 15:45:00.000,238.806,239.567,238.756,239.046,1045200.01
03.01.2023 15:50:00.000,239.057,239.157,238.216,238.267,1112400.03
03.01.2023 15:55:00.000,238.337,239.746,238.266,239.566,1039200.01
03.01.2023 16:00:00.000,239.586,239.827,238.706,238.776,805200
03.01.2023 16:05:00.000,238.817,238.866,237.727,237.887,934800
03.01.2023 16:10:00.000,237.907,238.156,237.496,237.567,1072800
03.01.2023 16:15:00.000,237.567,238.197,237.526,238.047,1152000
03.01.2023 16:20:00.000,238.026,238.476,237.776,238.176,1315200.02
03.01.2023 16:25:00.000,238.176,238.387,237.767,238.297,1027199.98
03.01.2023 16:30:00.000,238.297,238.297,237.496,237.917,1105200.01
03.01.2023 16:35:00.000,237.917,238.566,237.916,238.396,901200
03.01.2023 16:40:00.000,238.377,238.436,237.946,237.947,865200
03.01.2023 16:45:00.000,238.047,238.216,237.696,238.086,782400
03.01.2023 16:50:00.000,238.077,238.366,237.846,238.066,1046400.01
03.01.2023 16:55:00.000,238.076,238.277,237.846,238.156,909599.99
03.01.2023 17:00:00.000,238.126,238.287,237.956,238.036,784800.01
03.01.2023 17:05:00.000,238.037,238.657,237.956,238.346,922800.03
03.01.2023 17:10:00.000,238.367,238.597,238.116,238.467,645600
03.01.2023 17:15:00.000,238.466,238.487,237.897,237.986,757200
03.01.2023 17:20:00.000,238.036,238.367,237.596,237.696,771599.99
03.01.2023 17:25:00.000,237.667,238.226,237.606,238.147,607200
03.01.2023 17:30:00.000,238.157,238.967,238.116,238.807,750000.01
03.01.2023 17:35:00.000,238.806,238.937,238.356,238.427,674400.01
03.01.2023 17:40:00.000,238.427,238.537,238.137,238.237,621600.01
03.01.2023 17:45:00.000,238.237,238.316,237.596,237.767,873600.01
03.01.2023 17:50:00.000,237.767,237.947,237.766,237.806,652799.99
03.01.2023 17:55:00.000,237.807,238.337,237.676,238.137,712800
03.01.2023 18:00:00.000,238.057,238.206,237.777,238.006,661199.99
03.01.2023 18:05:00.000,237.967,238.016,237.637,237.806,622799.99
03.01.2023 18:10:00.000,237.827,238.167,237.636,237.787,649199.99
03.01.2023 18:15:00.000,237.806,237.846,237.566,237.626,589200.01
